produk,jan,feb,mar,apr,mei,jun,jul,agu,sep,okt,nov,des
Beras 5kg,200,210,195,205,200,198,210,205,200,195,205,210
Minyak Goreng,180,175,185,190,180,175,185,190,185,180,190,185
Kue Kering,20,15,18,20,15,20,25,30,40,250,300,60
Baju Lebaran,10,15,20,350,400,50,20,15,10,10,15,20
Sabun Mandi,150,155,148,152,150,149,153,151,150,148,152,150
Parcel Natal,5,5,8,5,5,8,5,10,15,30,80,320
Payung,30,35,40,90,100,30,25,30,35,95,105,40
Sikat Gigi,90,92,88,91,90,89,92,90,91,89,90,91
Barang Antik X,3,2,1,2,3,1,2,1,2,3,2,1
Kopi Sachet,300,310,295,305,300,298,310,305,300,295,305,310
Kembang Api,5,5,5,5,5,5,5,5,5,10,20,400
Deterjen,120,125,118,122,120,119,123,121,120,118,122,120
Aksesoris Retro,8,6,7,5,6,8,7,6,5,7,6,8
Susu Formula,250,255,248,252,250,249,253,251,250,248,252,250
Kartu Ucapan,10,8,12,10,200,15,10,8,12,10,15,220
